Date_x,Open,High,Low,Close,Adj Close,Volume,Time Stamp,Date_y,Init N.S.A,Init S.F.,Init S.A.,Init S.A. 4-Week,Continued N.S.A,Continued S.F.,Continued S.A.,Continued S.A. 4-Week,IUR N.S.A,IUR S.A.,Covered Employment,CPI Date,CPI Open,CPI High,CPI Low,CPI Close,CPI Adj Close,CPI Volume,DJIA Date,DJIA Open,DJIA High,DJIA Low,DJIA Close,DJIA Adj Close,DJIA Volume,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date,S&P Date,S&P Open,S&P High,S&P Low,S&P Close,S&P Adj Close,S&P Volume,NASDAQ Date,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Adj Close,NASDAQ Volume
2021-01-11,38346.53125,38346.53125,30549.599609375,35566.65625,35566.65625,123320567399,2021-01-11,2021-01-09,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208",2021-01-11,27.21999931335449,27.26000022888184,27.21999931335449,27.239999771118164,27.239999771118164,3900.0,2021-01-11,31015.369140625,31096.98046875,30832.060546875,31008.689453125,31008.689453125,4450500000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-11,-25.0,-12.0,-28.0,-42.0,-33.0,12.0,2021-01-11,2021-01-11,3803.139892578125,3817.860107421875,3789.02001953125,3799.610107421875,3799.610107421875,4450500000.0,2021-01-11,13048.7802734375,13138.26953125,12999.509765625,13036.4296875,13036.4296875,6876420000.0
2021-01-12,35516.359375,36568.52734375,32697.9765625,33922.9609375,33922.9609375,74773277909,2021-01-12,2021-01-09,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208",2021-01-12,27.270000457763672,27.270000457763672,27.0,27.229999542236328,27.229999542236328,4000.0,2021-01-12,31015.009765625,31114.560546875,30888.759765625,31068.689453125,31068.689453125,4977210000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-12,-23.0,-10.0,-22.0,-41.0,-33.0,12.0,2021-01-12,2021-01-12,3801.6201171875,3810.780029296875,3776.510009765625,3801.18994140625,3801.18994140625,4977210000.0,2021-01-12,13062.0595703125,13105.0400390625,12963.919921875,13072.4296875,13072.4296875,7181380000.0
2021-01-13,33915.12109375,37599.9609375,32584.66796875,37316.359375,37316.359375,69364315979,2021-01-13,2021-01-09,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208",2021-01-13,27.13999938964844,27.25,27.13999938964844,27.209999084472656,27.209999084472656,1100.0,2021-01-13,31084.880859375,31153.369140625,30992.05078125,31060.470703125,31060.470703125,4590420000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-13,-23.0,-12.0,-18.0,-41.0,-33.0,12.0,2021-01-13,2021-01-13,3802.22998046875,3820.9599609375,3791.5,3809.840087890625,3809.840087890625,4590420000.0,2021-01-13,13088.009765625,13171.150390625,13051.0595703125,13128.9501953125,13128.9501953125,7072920000.0
2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,39187.328125,63615990033,2021-01-14,2021-01-09,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208",2021-01-14,27.299999237060547,27.299999237060547,27.190000534057617,27.190000534057617,27.190000534057617,3800.0,2021-01-14,31085.669921875,31223.779296875,30982.240234375,30991.51953125,30991.51953125,5180140000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-14,-25.0,-13.0,-17.0,-41.0,-33.0,12.0,2021-01-14,2021-01-14,3814.97998046875,3823.60009765625,3792.860107421875,3795.5400390625,3795.5400390625,5180140000.0,2021-01-14,13174.75,13220.16015625,13098.41015625,13112.6396484375,13112.6396484375,6671090000.0
2021-01-15,39156.70703125,39577.7109375,34659.58984375,36825.3671875,36825.3671875,67760757881,2021-01-15,2021-01-09,"1,082,696","178,698.00","904,000","812,750","5,479,170","418,513.00","5,061,000","5,198,000",3.9,3.6,"142,133,208",2021-01-15,27.280000686645508,27.280000686645508,27.21999931335449,27.21999931335449,27.21999931335449,2600.0,2021-01-15,30926.76953125,30941.98046875,30612.669921875,30814.259765625,30814.259765625,5353060000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-15,-27.0,-16.0,-25.0,-41.0,-33.0,13.0,2021-01-15,2021-01-15,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5353060000.0,2021-01-15,13099.900390625,13139.830078125,12949.759765625,12998.5,12998.5,6402970000.0
2021-01-16,36821.6484375,37864.3671875,35633.5546875,36178.140625,36178.140625,57706187875,2021-01-16,2021-01-16,"937,313","51,013.00","886,000","833,500","5,218,474","340,099.00","4,878,000","5,089,750",3.7,3.4,"142,133,208",2021-01-15,27.280000686645508,27.280000686645508,27.21999931335449,27.21999931335449,27.21999931335449,2600.0,2021-01-15,30926.76953125,30941.98046875,30612.669921875,30814.259765625,30814.259765625,5353060000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-16,-25.0,-12.0,-14.0,-36.0,-14.0,7.0,2021-01-16,2021-01-15,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5353060000.0,2021-01-15,13099.900390625,13139.830078125,12949.759765625,12998.5,12998.5,6402970000.0
2021-01-17,36163.6484375,36722.3515625,34069.3203125,35791.27734375,35791.27734375,52359854336,2021-01-17,2021-01-16,"937,313","51,013.00","886,000","833,500","5,218,474","340,099.00","4,878,000","5,089,750",3.7,3.4,"142,133,208",2021-01-15,27.280000686645508,27.280000686645508,27.21999931335449,27.21999931335449,27.21999931335449,2600.0,2021-01-15,30926.76953125,30941.98046875,30612.669921875,30814.259765625,30814.259765625,5353060000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-17,-25.0,-15.0,-11.0,-38.0,-18.0,6.0,2021-01-17,2021-01-15,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5353060000.0,2021-01-15,13099.900390625,13139.830078125,12949.759765625,12998.5,12998.5,6402970000.0
2021-01-18,35792.23828125,37299.28515625,34883.84375,36630.07421875,36630.07421875,49511702429,2021-01-18,2021-01-16,"937,313","51,013.00","886,000","833,500","5,218,474","340,099.00","4,878,000","5,089,750",3.7,3.4,"142,133,208",2021-01-15,27.280000686645508,27.280000686645508,27.21999931335449,27.21999931335449,27.21999931335449,2600.0,2021-01-15,30926.76953125,30941.98046875,30612.669921875,30814.259765625,30814.259765625,5353060000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-18,-22.0,-14.0,-8.0,-44.0,-46.0,14.0,2021-01-18,2021-01-15,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5353060000.0,2021-01-15,13099.900390625,13139.830078125,12949.759765625,12998.5,12998.5,6402970000.0
2021-01-19,36642.234375,37755.890625,36069.8046875,36069.8046875,36069.8046875,57244195486,2021-01-19,2021-01-16,"937,313","51,013.00","886,000","833,500","5,218,474","340,099.00","4,878,000","5,089,750",3.7,3.4,"142,133,208",2021-01-19,27.280000686645508,27.299999237060547,27.26000022888184,27.290000915527344,27.290000915527344,1400.0,2021-01-19,30887.419921875,31086.619140625,30865.029296875,30930.51953125,30930.51953125,4982940000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-19,-26.0,-12.0,-23.0,-42.0,-34.0,12.0,2021-01-19,2021-01-19,3781.8798828125,3804.530029296875,3780.3701171875,3798.909912109375,3798.909912109375,4982940000.0,2021-01-19,13132.73046875,13206.8603515625,13078.7001953125,13197.1796875,13197.1796875,6229100000.0
2021-01-20,36050.11328125,36378.328125,33570.4765625,35547.75,35547.75,66834573161,2021-01-20,2021-01-16,"937,313","51,013.00","886,000","833,500","5,218,474","340,099.00","4,878,000","5,089,750",3.7,3.4,"142,133,208",2021-01-20,27.25,27.309999465942383,27.200000762939453,27.239999771118164,27.239999771118164,6500.0,2021-01-20,31017.5390625,31235.98046875,30997.7890625,31188.380859375,31188.380859375,4551790000.0,US,United States,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,2021-01-20,-26.0,-16.0,-22.0,-43.0,-33.0,12.0,2021-01-20,2021-01-20,3816.219970703125,3859.75,3816.219970703125,3851.85009765625,3851.85009765625,4551790000.0,2021-01-20,13342.5498046875,13486.1298828125,13329.76953125,13457.25,13457.25,6771630000.0
